,Recipe_name,Protein,Carbs,Fat
721,THE BEST VEGAN CORN TACOS WITH BELL PEPPER AND CILANTRO,19.99 g,144.88 g,41.58 g
722,Basil Scalloped Tomatoes and Croutons recipes,40.71 g,83.13 g,49.37 g
723,"Carrot, Pea, and Mint Salad Recipe",17.22 g,75.91 g,82.92 g
724,Beet and Citrus Salad With Pine Nut Vinaigrette Recipe,24.74 g,156.71 g,107.6 g
725,Stir Fried Singapore Noodles with Garlic Ginger Sauce recipes,35.17 g,166.07 g,18.47 g
726,Easy Vegan Soba Noodles with Peanut Sauce Recipe,100.27 g,392.87 g,70.17 g
727,"Eat your veggies, risotto!",57.83 g,172.85 g,39.19 g
728,Vegan Coconut Cream Tart with White Peaches and Blueberries,39.45 g,285.88 g,109.49 g
729,Tomato-Garlic Focaccia - My Vegan Italian Flatbread,29.81 g,323.46 g,24.1 g
730,Gluten-Free Low-Fat Vegan Oatmeal Muffins Recipe,36.6 g,395.9 g,52.33 g
731,Light Yakisoba Noodles,26.81 g,120.31 g,35.64 g
732,Barbecue Slawpy Jacks,28.7 g,376.7 g,56.48 g
733,Gigante Beans a la Zaytinya,29.56 g,98.08 g,46.07 g
734,Vegan Chickpea Chile Soup with Greens and Grains,56.37 g,226.91 g,31.65 g
735,Vegan Garden Pesto With Miso and Mixed Herbs Recipe,10.74 g,18.94 g,124.83 g
736,Fig Salad inspired by Yotam Ottolenghi,22.07 g,156.75 g,49.11 g
737,Seared Maitake Mushrooms recipes,13.6 g,57.03 g,197.0 g
738,Cheater’s Maple Baked Beans on Toast recipes,34.0 g,133.4 g,9.01 g
739,Chickpea Salad recipes,35.34 g,109.62 g,26.9 g
740,The Vegan Divas Cookbook: Smoky Tomato-Bean Soup,70.3 g,187.93 g,32.62 g
741,Mexican Fried Eggplant Sandwich (Vegan Tortas and Pambazos) Recipe,61.37 g,316.97 g,274.04 g
742,Summer tomato lazy bruschetta,37.03 g,180.61 g,44.77 g
743,"""Refried"" Black Beans and Walnut Meat Tacos (Vegan)",133.18 g,332.91 g,127.84 g
744,Vegan Roasted Vegetable Quinoa Bowl with Creamy Green Sauce,56.14 g,170.34 g,81.83 g
745,Herb and Cheese Drop Biscuits recipes,36.3 g,205.92 g,94.25 g
746,"Vegan Eggnog (Dairy Free, Egg Free, Gluten Free)",91.05 g,155.31 g,215.85 g
747,Butternut Squash Salad With Farro And Pepitas recipes,67.75 g,229.64 g,124.65 g
748,"Vegan raw corn, avocado and black bean salad",44.72 g,195.48 g,34.04 g
749,Vegan Chocolate Layer Cake With Creamy Chocolate Filling,82.81 g,942.6 g,262.43 g
750,Seared Maitake Mushrooms,13.34 g,55.4 g,196.91 g
751,Chive Vegan Cheese Spread and Veggie Crackers recipes,138.65 g,214.34 g,302.54 g
752,Zucchini Gratin,48.89 g,133.58 g,108.22 g
753,Salmon Burgers with Tartar Sauce,172.89 g,109.41 g,191.28 g
754,Vegan Huevos Rancheros Are 10/10 Would Make Again,93.69 g,284.36 g,66.49 g
755,Whole Wheat Eggless Garlic Bread Rolls,95.06 g,500.82 g,65.36 g
756,French Apple Tart (Tarte Fine aux Pommes) [vegan],5.76 g,154.65 g,42.27 g
757,Toasted Coconut Chocolate Cream Pie,96.57 g,276.56 g,234.17 g
758,Vegan Pesto Spaghetti Squash with Mushrooms & Sun-Dried Tomatoes,30.43 g,110.1 g,81.2 g
759,Pasta e fagioli,100.0 g,327.59 g,46.54 g
760,The Whole Wheat,80.52 g,395.26 g,102.03 g
761,"Eggplant, Mushroom & Pesto Pizza recipes",66.43 g,309.21 g,113.02 g
762,Rotini Tomato Pasta with 3 Minute Vegan Parmesan Cheese recipes,28.77 g,26.8 g,36.72 g
763,Portobello Sliders with Pepita Pesto,67.2 g,211.29 g,116.76 g
764,Savory Vegan Chickpea Crêpes with Spring Vegetable Ragout,47.23 g,162.33 g,31.12 g
765,Slow-Cooker Vegan Butternut Squash Soup with Apple,49.4 g,225.93 g,112.78 g
766,Vegan: Japanese Simmered Daikon with Bok Choy and Edamame Recipe,22.13 g,75.04 g,6.6 g
767,Grilled Broccoli And Bread Salad With Pickled Shallots,42.75 g,263.75 g,130.8 g
768,"Green Bean Casserole (The Vegan, Gluten Free Sequel)",37.46 g,211.74 g,147.84 g
769,Vegan Crispy Stir-Fried Tofu With Broccoli Recipe,67.23 g,204.3 g,282.72 g
770,Vegan Stuffed Squash with Brown Rice and Mushrooms recipes,70.59 g,564.75 g,78.83 g
771,Quinoa chilli with avocado & coriander,63.63 g,199.77 g,62.16 g
772,Aloo Gobi,26.33 g,176.83 g,12.93 g
773,Apple-Cranberry Cobbler,88.21 g,772.5 g,75.84 g
774,"From the Pantry: Vegan Pear, Cranberry and Pecan Muffins",31.57 g,444.44 g,162.63 g
775,Springtime Strawberry Lime Mango Crisp (Vegan + GF) recipes,48.9 g,300.82 g,142.18 g
776,Gluten-Free Tuesday: Vegan Apple Doughnuts Recipe,29.04 g,712.15 g,210.64 g
777,The Most Delicious Vegan Pad Kee Mao Recipe,86.42 g,497.8 g,386.06 g
778,Vegan Seared Pepper Tacos With Pintos And Avocado Crema,25.68 g,158.11 g,103.65 g
779,Charred aubergines with white beans & salsa verde,100.96 g,337.54 g,186.26 g
780,Yogurt Pancakes with Clementine Raspberry Compote,26.62 g,228.04 g,54.43 g
781,Curried Carrot Ginger Soup,27.43 g,175.59 g,121.69 g
782,Tomato Bisque with Cashew Cream,63.64 g,156.49 g,170.3 g
783,"Apple, Pear, And Sage Pie With Maple Walnut Crunch And Salted Honey Yogurt",77.2 g,673.23 g,194.71 g
784,Crunchy Summer Salad with Creamy Vegan Avocado Dressing,65.41 g,268.37 g,97.67 g
785,RAW VEGAN TIRAMISU with VANILLA CREAM & COFFEE LADYFINGERS recipes,102.51 g,578.68 g,263.97 g
786,"Oatmeal, Fig, and Walnut Bars",73.43 g,1059.84 g,223.88 g
787,Chickpea Miso Gravy Bowl with Sweet and Tangy Portobello Mushrooms recipes,32.73 g,191.92 g,39.61 g
788,"Oatmeal, Fig, And Walnut Bars",54.06 g,916.76 g,219.49 g
789,Vegan Spinach and Hominy Enchiladas With Spicy Cashew Cream Recipe,95.94 g,460.5 g,120.71 g
790,Crabless Cakes with Hearts of Palm & Corn recipes,34.41 g,152.22 g,43.18 g
791,"Braised Red Cabbage (Rotkraut) - (Vegan, Gluten Free, Low Fat)",19.6 g,91.74 g,39.84 g
792,High Protein Quinoa Almond Berry Salad (Vegan & GF) recipes,39.67 g,220.91 g,45.97 g
793,Nut Meat Tacos with Pickled Red Onions,43.71 g,165.56 g,91.56 g
794,"Zucchini Noodles with Roasted Tomato Sauce (Gluten-Free, Vegan)",22.79 g,88.69 g,39.57 g
795,End Of Summer Peach Apple Cobbler (Gluten-Free & Vegan),25.99 g,293.33 g,56.32 g
796,"Cranberry, Apricot And Pecan Wild Rice Pilaf (Gf + Vegan)",36.91 g,263.46 g,75.99 g
797,Fried Eggplant Sandwich With Eggplant Mayo Recipe,60.32 g,323.46 g,333.19 g
798,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,12.77 g,112.92 g,56.84 g
799,Fernanda Capobianco’s Pissaladière with Vegetables and Olives,43.32 g,292.33 g,229.46 g
800,Vegan Lentil Shepherd’s Pie With Parsnip And And Potato Mash,123.18 g,591.98 g,66.46 g
801,Ruby and Emerald Jeweled Rice,71.39 g,635.59 g,83.8 g
802,Creamy Penne Pasta Bake With Zucchini,72.39 g,391.05 g,92.19 g
803,Quinoa Greek Salad recipes,40.99 g,145.69 g,88.66 g
804,Pumpkin Polenta Recipe With Tomatillo-Avocado Salsa,25.55 g,215.41 g,94.48 g
805,Gluten-Free Black Bean Burgers,167.98 g,551.67 g,21.39 g
806,Creamy Polenta with Tempeh Sausage and Tomatoes,149.12 g,256.35 g,113.0 g
807,Pineapple and Shrimp Fried Quinoa recipes,88.52 g,225.53 g,98.9 g
808,STRAWBERRY + CHOCOLATE CHEESECAKE recipes,90.62 g,426.23 g,303.42 g
809,French Toast with Caramelized Bananas (Vegan and Gluten-Free) recipes,30.81 g,252.81 g,116.54 g
810,Black Bean And Butternut Squash Burritos,80.91 g,322.43 g,60.9 g
811,Jicama and Pomelo Salad With Spicy Thai Dressing (Vegan) Recipe,20.97 g,83.67 g,19.59 g
812,Recipe: Best-Ever Veggie Burger,78.27 g,305.53 g,27.28 g
813,Red Lentil Spaghetti With Vegan Cauliflower Rosa Sauce and Arugula,68.96 g,372.57 g,26.63 g
814,Dried Olive and Miso Shake (The Best Vegan Parmesan Substitute) Recipe,12.55 g,40.94 g,74.64 g
815,Vietnamese-Style Tofu Hero with Asian Slaw,49.71 g,65.14 g,96.03 g
816,"A Recipe For Long Grain Brown Rice Pilaf (Vegan, Gluten Free)",43.94 g,188.1 g,47.11 g
817,Hazelnut Fig Crackers with Sage and Black Pepper,167.2 g,358.87 g,455.11 g
818,crunchy quinoa & veggie roaster,47.61 g,172.48 g,94.06 g
819,Chocolate Cake with Chocolate-Orange Frosting,37.4 g,726.63 g,235.54 g
820,Aloo Gobi,27.03 g,181.02 g,31.83 g
821,Vegan Olive Oil Cake (adapted from Maialino's Olive Oil Cake),59.98 g,595.67 g,315.33 g
822,Cashew Cheesecake,87.42 g,376.41 g,316.17 g
823,Creamy Coconut & Roasted Beet Soup with Pistachios & Greek Yogurt,53.36 g,194.74 g,139.46 g
824,"Pasta With Snap Peas, Garlic, Lemon Zest, and Black Pepper (Vegan) Recipe",43.66 g,212.0 g,58.57 g
825,Curried Chickpea Sandwich,81.73 g,310.6 g,118.26 g
826,"Gluten-Free, Vegan, and Oil-Free Walnut Chip Brownies recipes",48.32 g,425.34 g,81.89 g
827,Gluten Free Green Bean Casserole,101.87 g,445.89 g,688.94 g
828,Cashew cream fettuccine Alfredo with sauteed spinach and cheese crisps (gluten-free),134.51 g,486.89 g,259.0 g
829,"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe",102.57 g,257.64 g,466.14 g
830,Maple-Glazed Sweet Potatoes (Japanese Daigaku Imo Style) w/Vegan option,9.74 g,183.18 g,83.83 g
831,Sweet Potato and Mushroom Cannelloni with Braised Escarole and Butter Beans (Vegan) Recipe,98.62 g,443.0 g,40.15 g
832,"A Recipe for Long Grain Brown Rice Pilaf (Vegan, Gluten Free)",31.85 g,171.16 g,41.35 g
833,Creamy Zucchini Soup With Scallions And Brazil Nut Chili Oil (Vegan),18.0 g,47.86 g,115.43 g
834,20 Minute Apple Turnovers,10.46 g,194.67 g,32.94 g
835,"Fat Tommy’s Three-Bean, Gluten-Free, Vegan Chili Recipe",171.0 g,580.93 g,51.33 g
836,"Cumin Scented Kale with Onions, Tomatoes and Mushrooms (Vegan and Gluten Free)",23.34 g,55.86 g,6.25 g
837,Grilled Marinated Heart of Palm Tacos With Spicy Cabbage Slaw (vegan) Recipe,37.49 g,199.1 g,58.73 g
838,"Spicy, Smoky Bean Cakes with Lime Slaw and Charred Avocado Recipe",66.35 g,249.4 g,71.01 g
839,Curried Lentils with Quick-Pickled Veggies,225.55 g,590.44 g,50.12 g
840,Whole-Grain Vegan Carrot Cake Loaf with Lemon Glaze recipes,49.39 g,381.92 g,102.7 g
841,Chocolate Cake with Chocolate-Orange Frosting recipes,37.4 g,726.63 g,235.54 g
842,Hearty Vegan Polenta and Kale Soup With Miso and Toasted Sesame Oil Recipe,23.03 g,167.07 g,101.79 g
843,Mushroom and Eggplant Veggie Burgers,118.09 g,385.66 g,106.3 g
844,Blissful Blueberry Banana Spelt Muffins (vegan + refined sugar-free) recipes,63.99 g,445.42 g,104.56 g
845,Pesto Knots,67.14 g,203.94 g,87.54 g
846,J. Kenji López-Alt's 15-Minute Creamy (Vegan) Tomato Soup,27.5 g,129.28 g,116.19 g
847,Southwestern Crispy Fish Taco Salad,115.47 g,258.63 g,243.6 g
848,Sinless Sticky Toffee Pecan Pudding recipes,26.85 g,625.68 g,137.41 g
849,Kentucky fried seitan,317.43 g,703.99 g,534.41 g
850,Quinoa Maki with Avocado and Cajun Portobello Fillets,30.0 g,115.55 g,99.36 g
851,Indian Stuffed Eggplant,66.39 g,327.51 g,151.81 g
852,"Spicy Peanut Noodle Salad With Cucumbers, Red Peppers, and Basil (Vegan) Recipe",97.38 g,284.55 g,128.74 g
853,Vegan Pumpkin Pie Squares with Gluten-Free Graham Cracker Crust recipes,12.97 g,240.28 g,95.85 g
854,Lemon Glazed Spice Cake With Whipped Cream,29.85 g,482.83 g,78.11 g
855,Cozy Yellow Curry Vegetable Soup,46.9 g,136.01 g,90.04 g
856,"Japanese Udon With Mushroom-Soy Broth, Stir-Fried Mushrooms, and Cabbage (Vegan) Recipe",6.82 g,20.1 g,3.16 g
857,"Tempeh, Pepper, and Spinach-Pesto Sandwich",88.15 g,164.82 g,78.16 g
858,Sweet potato & black bean chilli with zesty quinoa,70.17 g,302.2 g,66.07 g
859,"ULTIMATE RAW VEGAN PIZZA (LOW-FAT, OIL-FREE, SALT-FREE) recipes",26.97 g,147.83 g,5.81 g
860,"Oven Roasted Portobello Mushrooms marinated in Balsamic (Vegan, Gluten Free) Vinegar, Shallots and Thyme",10.23 g,86.04 g,1.3 g
861,Yellow Split Pea Soup recipes,122.34 g,325.46 g,68.41 g
862,Banana-Coconut Cake Recipe,55.36 g,1063.72 g,621.42 g
863,Party Vegan's Porcini-stuffed Seitan with Wild Mushroom Sauce Recipe,273.14 g,433.03 g,89.55 g
864,Steamed Buns with Tempura King Oyster Mushrooms and Agave-Miso Mayonnaise (Vegan) Recipe,75.31 g,498.92 g,898.55 g
865,Mexican Chocolate Cake,37.67 g,460.63 g,87.47 g
866,"All the Veggies In Your Fridge, Stir-Fry (Low Oil, Vegan, GF)",10.96 g,123.44 g,15.73 g
867,CHIPOTLE JACKFRUIT TACOS WITH SIMPLE GUAC AND LEMON ORANGE CREMA,35.85 g,463.12 g,106.43 g
868,Crispy Bánh Mì Spring Rolls With Creamy Chili Mayo Recipe,12.93 g,389.9 g,1831.34 g
869,"Mediterranean White Beans with Sun Dried Tomatoes, Mushrooms, Garlic and Thyme (vegan, gluten free)",96.57 g,251.63 g,30.86 g
870,The Ultimate Rich and Creamy Vegan Ramen With Roasted Vegetables and Miso Broth Recipe,3.4 g,15.57 g,9.12 g
871,Jeweled Rice (Iranian / Persian Morausa Polo),66.05 g,572.85 g,202.78 g
872,Ginger-Apple Crumble Pie (Gluten And Dairy-Free),43.69 g,447.5 g,213.05 g
873,"Look Ma No Dairy! - Creamy Parnsnip Soup with Granny Smith Apples (Vegan, Gluten Free)",125.36 g,322.67 g,170.22 g
874,Sassy Springtime Rolls,53.3 g,189.63 g,35.99 g
875,"Spicy Sauteed Kale with Pan Roasted Garlic, Currants and Sun Flower Seeds (Vegan, gluten free)",22.66 g,74.51 g,50.5 g
876,"Don't Die on Me Man - A Comforting and Healing Spicy Soup (Vegan, Gluten Free)",55.94 g,109.29 g,19.87 g
877,Maple Cinnamon Mashed Sweet Potatoes recipes,41.97 g,402.47 g,162.37 g
878,"Sichuan Shirataki Sesame Noodle Salad With Cucumber, Sichuan Peppercorn, Chili Oil, and Peanuts (Vegan) Recipe",54.67 g,207.71 g,111.88 g
879,Basil Thai Noodles with Bison and Zucchini + Spicy Quick Pickled Cucumber,130.67 g,270.48 g,126.89 g
880,Beetroot Tart Tatin,26.4 g,161.98 g,184.31 g
881,Beetroot & squash Wellingtons with kale pesto,125.44 g,610.67 g,332.9 g
882,Warm Couscous Salad w/ Olives + Pine Nuts,46.78 g,201.6 g,85.61 g
883,15 Minute No Bake Energy Bites,25.38 g,166.43 g,34.64 g
884,"Carrot ""Lox""",2.53 g,16.67 g,0.7 g
885,Coconut Mashed Sweet Potatoes,23.13 g,253.62 g,48.98 g
886,Buckwheat Tortillas,45.44 g,255.23 g,44.91 g
887,Coconut chutney,11.96 g,48.23 g,47.49 g
888,Rich Chocolate Ganache Topping Recipe,5.78 g,103.65 g,34.42 g
889,Stuffed Mediterranean Baked Potato,38.87 g,199.05 g,9.32 g
890,Sweet potato crisps,0.38 g,4.9 g,6.76 g
891,Tangerine Thyme Cooler,13.56 g,282.89 g,5.09 g
892,Cashew Cream Recipe,51.27 g,112.82 g,123.1 g
893,Raspberry sorbet,6.64 g,265.07 g,3.42 g
894,Warm Shredded Carrot Salad with Carrot Greens,4.78 g,37.16 g,14.42 g
895,"Creamy, Zesty ""Cheese"" Dip",70.88 g,81.86 g,64.78 g
896,Coconut Whipped Cream,14.41 g,34.64 g,137.64 g
897,Fudgy Oat Milk Frappuccino Dream,35.75 g,172.96 g,95.0 g
898,Spinach & chickpea dhal,39.86 g,108.47 g,68.16 g
899,Apple Pie Overnight Oats Recipe,74.41 g,185.78 g,142.31 g
900,Georgian Spinach Walnut Dip- Ispanakhis Pkhali,10.33 g,24.49 g,46.08 g
901,Spicy roast chickpeas,29.12 g,93.28 g,16.66 g
902,Tuscan Tomato Soup,53.19 g,174.27 g,38.44 g
903,Sesame stir-fry wrap,14.55 g,52.11 g,22.85 g
904,Black Bean-Sweet Potato Burritos,173.91 g,779.52 g,60.98 g
905,Tofu Scramble Fried Rice,33.95 g,117.22 g,28.08 g
906,Mint Chocolate Chip Nice Cream,10.98 g,112.7 g,61.85 g
907,Minted green bean salad,11.75 g,46.65 g,41.95 g
908,Wilted Spinach Salad with Coconut Bacon,1.02 g,3.37 g,6.74 g
909,Cucumber-Jalapeño Popsicles,6.27 g,72.05 g,1.17 g
910,Spaghetti Carbonara,89.88 g,234.58 g,104.78 g
911,"Bean, tomato & watercress salad",98.39 g,331.35 g,36.72 g
912,Minted green bean salad,12.0 g,47.97 g,41.97 g
913,Baked Almond Feta,47.14 g,46.8 g,154.91 g
914,Raspberry ripple chia pudding,20.18 g,81.74 g,23.28 g
915,Indian Spiced Lentil Soup,146.81 g,474.58 g,40.73 g
916,Classic Cashew Cheese,58.6 g,67.87 g,63.93 g
917,Roasted Squash and Raw Carrot Soup Recipe,36.24 g,277.34 g,126.3 g
918,Keep it green sandwich,14.92 g,53.41 g,32.27 g
919,Smoky Charred Cauliflower and Potato Soup With Kale Recipe,38.9 g,228.69 g,31.37 g
920,Onigiri,28.7 g,312.65 g,29.67 g
921,Chilli-charred Brussels sprouts,22.01 g,64.6 g,57.28 g
922,"Colcannon Inspired, Spicy Asian Sweet Potato Salad",49.57 g,318.05 g,40.73 g
923,Miso aubergines,27.61 g,143.46 g,19.33 g
924,Golden beet hummus,40.89 g,119.51 g,112.69 g
925,Eggplant Arrabbiata,65.83 g,370.1 g,76.85 g
926,Coconut Nice,48.71 g,819.39 g,262.56 g
927,Cashew “Hollandaise”,6.59 g,13.61 g,42.48 g
928,ORANGE TARRAGON FRUIT LEATHER,10.5 g,71.22 g,25.36 g
929,Roasted pear with walnut & ginger filling,17.33 g,176.0 g,60.98 g
930,Dairy Free Chocolate Coconut Ice Cream,10.2 g,73.41 g,86.47 g
931,Hearty Winter Vegetable Soup Recipe,34.01 g,168.55 g,21.55 g
932,Spinach & chickpea curry,70.74 g,222.0 g,26.18 g
933,Roasted cherry tomato and eggplant pasta,71.33 g,454.7 g,9.06 g
934,Cassava Bacon,11.08 g,186.49 g,22.83 g
935,Crispy Fried Chickpea Cake and Slaw Sandwiches Recipe,102.28 g,465.63 g,170.32 g
936,"Linguine with avocado, tomato & lime",24.41 g,137.68 g,32.28 g
937,Gluten Free Cauliflower Kale Pesto Pizza,25.86 g,42.4 g,84.09 g
938,Pumpkin Pie Tarts,121.77 g,431.62 g,291.01 g
939,Melon Milk Pops,14.53 g,133.36 g,11.26 g
940,Vegetarian Enchiladas,70.42 g,272.88 g,34.95 g
941,"""Chorizo"" Tacos From 'The VB6 Cookbook'",92.83 g,143.99 g,76.85 g
942,Parsnip and Chestnut Bisque,14.41 g,225.76 g,55.78 g
943,Barley & broccoli risotto with lemon & basil,18.12 g,99.9 g,31.15 g
944,Butter bean & tomato salad,38.38 g,123.71 g,46.77 g
945,"Fried Plantains With Black Beans, Roasted Poblanos, Avocado, and Pickled Red Onion Recipe",45.04 g,349.94 g,318.04 g
946,Avocado hummus & crudités,55.34 g,192.09 g,43.34 g
947,Watermelon-Strawberry Popsicles,4.81 g,76.54 g,1.69 g
948,Dairy Free Tzatziki,33.82 g,88.14 g,62.31 g
949,Cook the Book: Lasagna with Roasted Cauliflower Ricotta and Spinach,96.05 g,125.05 g,37.69 g
950,Mexican chocolate chickpea brownie,140.86 g,703.55 g,233.35 g
951,Squash & spinach fusilli with pecans,26.33 g,128.24 g,19.96 g
952,Guacamole & mango salad with black beans,32.88 g,143.89 g,25.03 g
953,Butter bean & tomato salad,39.49 g,126.57 g,47.07 g
954,Leek seeni sambol,6.42 g,47.99 g,23.82 g
955,Parsnip gnocchi,48.6 g,271.55 g,78.89 g
956,Soondubu Jjigae (Korean Soft Tofu Stew) Recipe,131.98 g,56.1 g,190.38 g
957,Syrian Hummus,60.77 g,194.69 g,122.04 g
958,Kohlrabi Fritters,27.12 g,73.76 g,56.02 g
959,Luxury hummus,148.12 g,462.54 g,174.66 g
960,Strawberry-Mango Nice Cream,4.37 g,69.68 g,1.98 g
961,Peanut and Coke Sorbet Recipe,46.68 g,276.31 g,102.94 g
962,Tofu Tacos,74.68 g,180.41 g,66.77 g
963,Fennel Pistachio Cauliflower Steaks,34.0 g,89.7 g,59.78 g
964,Quinoa and lentil salad with arugula,77.4 g,272.33 g,67.77 g
965,Cauliflower steaks with roasted red pepper & olive salsa,16.25 g,39.91 g,39.3 g
966,Asparagus & lemon spaghetti with peas,34.55 g,164.06 g,31.77 g
967,Veggie tahini lentils,84.45 g,227.58 g,59.23 g
968,Roasted squash & red onion with pistachios,16.0 g,115.48 g,42.67 g
969,Citrus Lime Tofu Salad,27.09 g,20.25 g,31.08 g
970,Burnt leeks on toast with romesco,52.01 g,258.41 g,57.4 g
971,Marinated Kale and Chickpea Salad With Sumac Onions Recipe,50.3 g,135.85 g,33.68 g
972,Beefless Ground Beef,41.35 g,11.42 g,32.61 g
973,Veggie-loaded flatbread,51.57 g,187.8 g,72.72 g
974,Gluten-Free Apple and Walnut Pakoda/Fritters,21.6 g,152.21 g,42.09 g
975,Beet Tartare,27.2 g,108.07 g,62.82 g
976,Slow-Cooker Creamy Lentil Soup Freezer Pack,71.2 g,184.75 g,16.0 g
977,Egg-Free and Dairy-Free Pumpkin Pudding,17.97 g,108.25 g,91.53 g
978,Spaghetti with a Creamy Zucchini & Mint Sauce,38.17 g,194.22 g,12.32 g
979,Pesto Tortilla Pizza,56.56 g,269.32 g,155.67 g
980,Gluten-Free Apple Hand Pies Recipe,23.5 g,425.1 g,101.1 g
981,Veggie Sandwich,9.87 g,48.35 g,10.98 g
982,Toasted Paprika Chickpeas,30.39 g,99.03 g,28.82 g
983,Healthy Broccoli and Cheese Soup,67.06 g,97.78 g,8.01 g
984,Garlic Mashed Cauliflower,17.51 g,49.52 g,43.95 g
985,Butternut Squash and Quinoa Pilaf,28.77 g,160.17 g,42.8 g
986,Crispy sweet potatoes with chickpeas & tahini yogurt,55.06 g,246.11 g,100.18 g
987,Sweet potato Tex-Mex salad,51.93 g,283.57 g,91.4 g
988,Mushroom Beet Black Bean Burger,60.14 g,138.46 g,27.25 g
989,Cauliflower Steaks with Olive Salsa and Roasted Tomato Sauce,23.27 g,96.18 g,29.35 g
990,Veggie olive wraps with mustard vinaigrette,6.84 g,34.45 g,13.26 g
991,Smoky Potato and Caper Empanadas With Cilantro Sauce Recipe,48.15 g,374.31 g,1930.24 g
992,Aubergine & chickpea bites,60.56 g,259.79 g,59.97 g
993,Shortbread Pecan Pie Crust,30.42 g,129.38 g,155.44 g
994,Zucchini Cannelloni with Cashew sauce,42.87 g,80.26 g,34.37 g
995,Sweet potato & cauliflower lentil bowl,66.52 g,222.82 g,47.41 g
996,Summertime Lentil Salad With Mango,15.05 g,51.05 g,17.71 g
997,Curried parsnip soup shots,30.68 g,141.37 g,32.54 g
998,Chilli & avocado salsa sweet potatoes,46.0 g,212.41 g,40.19 g
999,Autumn Apple Pumpkin Soup,16.38 g,140.73 g,50.33 g
1000,Cook the Book: Garlicky Mushrooms and Kale,24.96 g,50.66 g,9.31 g
1001,Raspberry-Banana Sorbet,10.18 g,107.83 g,4.89 g
1002,Miso roasted tofu with sweet potato,80.17 g,115.44 g,75.36 g
1003,Citrus Collards with Raisins Redux,6.65 g,92.0 g,14.69 g
1004,My children love beet salad!,21.29 g,95.81 g,50.29 g
1005,Edamame & Veggie Rice Bowl,9.58 g,43.75 g,26.11 g
1006,Sautéed Spinach,14.23 g,19.32 g,10.81 g
1007,Tuscan Hummus,77.06 g,228.87 g,73.14 g
1008,Tangy Teriyaki Salmon,431.1 g,39.47 g,276.51 g
1009,Graham Cracker Cinnamon Rolls (the best ever!),41.53 g,395.99 g,94.71 g
1010,"""Chocomole"" Pudding",37.32 g,445.2 g,117.05 g
1011,Broccoli Slaw w/ Mustard Vinaigrette,11.45 g,50.78 g,15.07 g
1012,Pesto Stuffed Mushrooms,16.01 g,40.09 g,31.17 g
1013,Edamame Spread,1.65 g,4.08 g,18.65 g
1014,Escalivada (Smoky Slow-Roasted Vegetables),15.04 g,78.65 g,74.96 g
1015,Coconut Almond Chia Seed Pudding Recipe,26.13 g,107.65 g,60.6 g
1016,Cucumber-Avocado Cauliflower Rice Sushi,18.14 g,60.4 g,149.24 g
1017,"Amaranth ""Risotto"" With Mushrooms",87.04 g,417.85 g,126.84 g
1018,Garlicky mushroom penne,41.4 g,171.31 g,23.15 g
1019,West Indian spiced aubergine curry,11.25 g,69.45 g,15.4 g
1020,Roasted aubergine & tomato curry,20.68 g,90.56 g,125.12 g
1021,"Cauliflower, squash, coconut & lentil curry",77.02 g,241.44 g,118.3 g
1022,Ripe's Eggplant Romesco Rigatoni,64.71 g,293.29 g,70.69 g
1023,Date and Fennel Tofu Scramble,78.01 g,165.29 g,65.14 g
1024,Caramelized Onion Hummus,73.91 g,236.99 g,191.25 g
1025,Asian Bulgur Wheat Salad,20.18 g,99.19 g,29.31 g
1026,Roast asparagus bowls with tahini lemon dressing,38.85 g,152.63 g,26.53 g
1027,"Tomato, Fennel, and Crab Soup",76.04 g,175.31 g,101.06 g
1028,Pasta with Broccoli and Cauliflower,71.61 g,273.57 g,34.28 g
1029,Tuscan Black Cabbage Bruschetta - (Crostoni Di Cavolo Nero),15.29 g,69.67 g,4.0 g
1030,Black-Eyed Pea and Tempeh Beanballs,89.8 g,120.96 g,41.04 g
1031,"Spanish Rice with Chorizo, Beans and Peas",176.64 g,432.46 g,209.06 g
1032,Cauliflower Cilantro Salad Recipe,11.07 g,41.95 g,42.2 g
1033,"Spicy, Peanutty Udon with Kale",32.54 g,85.66 g,35.11 g
1034,Satay noodle soup,13.54 g,53.94 g,39.2 g
1035,Raw Chocolate Ganache Cake,42.13 g,240.67 g,153.62 g
1036,"#SPINACH #LASAGNA my #Caribbean favourite, #Delicious #Nutritious #Vegetarian",165.9 g,333.74 g,548.55 g
1037,"Tempeh ""Chicken"" Salad",26.8 g,23.75 g,24.2 g
1038,Easy Chickpea Curry,201.31 g,843.44 g,267.99 g
1039,Mint & basil griddled peach salad,23.36 g,118.14 g,42.51 g
1040,Seasoned Black-Eyed Peas,16.32 g,101.48 g,30.38 g
1041,Southwest Sweet Potato Salad,52.07 g,266.82 g,62.04 g
1042,Braised Green Beans with Tomatoes,17.49 g,77.86 g,70.2 g
1043,Curried Cauliflower Soup with Roasted Tomatoes,22.49 g,77.48 g,52.77 g
1044,Gluten-Free Banana Flapjacks,21.33 g,185.77 g,33.69 g
1045,Baked Potato Soup with Crunchy Potato Skins,36.82 g,279.22 g,56.47 g
